GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
4112150,160,41,,,,,,Cedar Mill CDP,14546,5849,12597,4951,14546,12597
4112400,160,41,,,,,,Central Point city,17169,6975,12493,4760,17169,12493
4113750,160,41,,,,,,Clatskanie city,1737,806,1528,659,1737,1528
4114200,160,41,,,,,,Cloverdale CDP,250,116,242,106,250,242
4114750,160,41,,,,,,Columbia City city,1946,830,1571,640,1946,1571
4115000,160,41,,,,,,Condon city,682,455,759,413,682,759
4115800,160,41,,,,,,Corvallis city,54462,23423,49322,20909,54462,49322
4115950,160,41,,,,,,Cottage Grove city,9686,4154,8445,3430,9686,8445
4116350,160,41,,,,,,Crabtree CDP,391,161,,,391,
4116450,160,41,,,,,,Crane CDP,129,64,,,129,
4116650,160,41,,,,,,Crawfordsville CDP,332,141,,,332,
4117700,160,41,,,,,,Dallas city,14583,6137,12459,4912,14583,12459
4117800,160,41,,,,,,Damascus city,10539,3769,,,10539,
4118150,160,41,,,,,,Days Creek CDP,272,135,,,272,
4118300,160,41,,,,,,Dayville town,149,93,138,77,149,138
4118450,160,41,,,,,,Deer Island CDP,294,139,,,294,
4118850,160,41,,,,,,Depoe Bay city,1398,1158,1174,911,1398,1174
4119600,160,41,,,,,,Dillard CDP,478,183,,,478,
4120500,160,41,,,,,,Drain city,1151,492,1021,441,1151,1021
4121050,160,41,,,,,,Dundee city,3162,1175,2598,952,3162,2598
4121150,160,41,,,,,,Dunes City city,1303,845,1241,705,1303,1241
4121450,160,41,,,,,,Eagle Crest CDP,1696,1793,,,1696,
4122550,160,41,,,,,,Elgin city,1711,778,1654,699,1711,1654
4124100,160,41,,,,,,Fair Oaks CDP,278,111,,,278,
4124550,160,41,,,,,,Falls City city,947,395,966,373,947,966
4126050,160,41,,,,,,Florence city,8466,5103,7263,4174,8466,7263
4126165,160,41,,,,,,Foots Creek CDP,799,372,,,799,
4126400,160,41,,,,,,Fort Hill CDP,129,76,,,129,
4127350,160,41,,,,,,Fruitdale CDP,1177,513,,,1177,
4127825,160,41,,,,,,Garden Home-Whitford CDP,6674,3026,6931,3175,6674,6931
4127850,160,41,,,,,,Gardiner CDP,248,153,,,248,
4128000,160,41,,,,,,Garibaldi city,779,524,899,584,779,899
4128200,160,41,,,,,,Gates city,471,249,471,261,471,471
4128450,160,41,,,,,,Gearhart city,1462,1450,995,1055,1462,995
4129000,160,41,,,,,,Gladstone city,11497,4779,11438,4419,11497,11438
4129100,160,41,,,,,,Glasgow CDP,763,393,,,763,
4129350,160,41,,,,,,Glendale city,874,391,855,355,874,855
4129750,160,41,,,,,,Glide CDP,1795,818,1690,675,1795,1690
4129900,160,41,,,,,,Gold Beach city,2253,1322,1897,987,2253,1897
4130250,160,41,,,,,,Government Camp CDP,193,630,,,193,
4130300,160,41,,,,,,Grand Ronde CDP,1661,720,271,140,1661,271
4130500,160,41,,,,,,Granite city,38,88,24,74,38,24
4130650,160,41,,,,,,Grass Valley city,164,92,171,93,164,171
4131050,160,41,,,,,,Greenhorn city,0,10,0,7,0,0
4131250,160,41,,,,,,Gresham city,105594,41015,90205,35309,105594,90205
4131650,160,41,,,,,,Halfway city,288,199,337,196,288,337
4131750,160,41,,,,,,Halsey city,904,334,724,267,904,724
4132050,160,41,,,,,,Happy Valley city,13903,4708,4519,1500,13903,4519
4132100,160,41,,,,,,Harbor CDP,2391,1428,2622,1691,2391,2622
4132400,160,41,,,,,,Harper CDP,109,56,,,109,
4132550,160,41,,,,,,Harrisburg city,3567,1318,2795,1038,3567,2795
4132850,160,41,,,,,,Hayesville CDP,19936,7244,18222,6951,19936,18222
4133100,160,41,,,,,,Hebo CDP,232,109,231,123,232,231
4133250,160,41,,,,,,Helix city,184,68,183,68,184,183
4133700,160,41,,,,,,Hermiston city,16745,6373,13154,5383,16745,13154
4134250,160,41,,,,,,Hines city,1563,738,1623,689,1563,1623
4134650,160,41,,,,,,Holley CDP,378,152,,,378,
4134900,160,41,,,,,,Hood River city,7167,3473,5831,2645,7167,5831
4135450,160,41,,,,,,Hubbard city,3173,1002,2483,799,3173,2483
4135850,160,41,,,,,,Idaville CDP,337,173,,,337,
4136050,160,41,,,,,,Imbler city,306,119,284,111,306,284
4136150,160,41,,,,,,Independence city,8590,3168,6035,2131,8590,6035
4136400,160,41,,,,,,Ione city,329,154,321,142,329,321
4136500,160,41,,,,,,Irrigon city,1826,640,1702,609,1826,1702
4136750,160,41,,,,,,Island City city,989,416,916,375,989,916
4137000,160,41,,,,,,Jacksonville city,2785,1548,2235,1102,2785,2235
4137200,160,41,,,,,,Jeffers Gardens CDP,368,160,,,368,
4137250,160,41,,,,,,Jefferson city,3098,1119,2487,885,3098,2487
4137400,160,41,,,,,,Jennings Lodge CDP,7315,3203,7036,3004,7315,7036
4137550,160,41,,,,,,John Day city,1744,895,1821,846,1744,1821
4137650,160,41,,,,,,Johnson City city,566,278,634,286,566,634
4137850,160,41,,,,,,Jordan Valley city,181,149,239,140,181,239
4137900,160,41,,,,,,Joseph city,1081,590,1054,543,1081,1054
4138150,160,41,,,,,,Juntura CDP,57,44,,,57,
4138500,160,41,,,,,,Keizer city,36478,14445,32203,12774,36478,32203
4138900,160,41,,,,,,Kerby CDP,595,270,,,595,
4139150,160,41,,,,,,King City city,3111,1920,1949,1488,3111,1949
4139350,160,41,,,,,,Kings Valley CDP,65,25,,,65,
4139700,160,41,,,,,,Klamath Falls city,20840,9595,19462,8722,20840,19462
4140050,160,41,,,,,,Labish Village CDP,412,110,376,101,412,376
4140150,160,41,,,,,,Lacomb CDP,546,208,,,546,
4140300,160,41,,,,,,Lafayette city,3742,1315,2586,888,3742,2586
4140350,160,41,,,,,,La Grande city,13082,5794,12327,5483,13082,12327
4140550,160,41,,,,,,Lake Oswego city,36619,16995,35278,15741,36619,35278
4140650,160,41,,,,,,Lakeside city,1699,967,1371,764,1699,1371
4140700,160,41,,,,,,Lakeview town,2294,1212,2474,1220,2294,2474
4140950,160,41,,,,,,Langlois CDP,177,109,,,177,
4142600,160,41,,,,,,Lincoln City city,7930,6025,7437,4990,7930,7437
4143400,160,41,,,,,,Lonerock city,21,25,24,27,21,24
4143550,160,41,,,,,,Long Creek city,197,112,228,115,197,228
4143650,160,41,,,,,,Lookingglass CDP,855,346,,,855,
4143900,160,41,,,,,,Lostine city,213,112,263,118,213,263
4145400,160,41,,,,,,Malin city,805,278,638,217,805,638
4145900,160,41,,,,,,Marion CDP,313,119,274,99,313,274
4146500,160,41,,,,,,Maupin city,418,274,411,244,418,411
4146730,160,41,,,,,,Maywood Park city,752,312,777,314,752,777
4147000,160,41,,,,,,Medford city,74907,32430,63154,26297,74907,63154
4147300,160,41,,,,,,Mehama CDP,292,117,283,123,292,283
4147350,160,41,,,,,,Melrose CDP,735,304,,,735,
4147650,160,41,,,,,,Merlin CDP,1615,741,,,1615,
4147700,160,41,,,,,,Merrill city,844,347,897,380,844,897
4147800,160,41,,,,,,Metzger CDP,3765,1735,3354,1583,3765,3354
4148300,160,41,,,,,,Millersburg city,1329,538,651,288,1329,651
